title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GRDI
		FOODON:03411644	Cuttlefish						
		FOODON:03414847	Dog						
		FOODON:03413363	Dolphin						
		NCIT:C14191	Domestic Cat						
		FOODON:03411161	Domestic Cattle						
		FOODON:03411316	Duck						
			Dumpster						
			Eagle						
		FOODON:03411278	Eel						
		FOODON:03412129	Elephant						
			Falcon						
		NCIT:C14191	Feline						
		CURATION:0001411	Ferret						
			Finch						
		FOODON:03411222	Fish						
			Flamingo						
			For Unspecified						
		CURATION:0001405	Fox						
		FOODON:03412615	Gecko						
		FOODON:03411328	Goat						
			Goat and Sheep						
		FOODON:03411253	Goose						
		FOODON:03301123	Grape						
		FOODON:03411478	Green onions						
			Grosbeak						
		FOODON:03301526	ground pepper						
		FOODON:03413503	Gull						
		FOODON:03412695	Hare						
		FOODON:00002933	Hazelnut						
		FOODON:03414548	Hedgehog						
			Herb/spice (unspecified)						
		FOODON:00002890	Heron						
		NCBITAXON:9831	Hippopotamidae						
		FOODON:03411229	Horse						
		FOODON:03412701	Iguana						
			Jaguar						
		FOODON:03412092	Kangaroo						
			Komodo Dragon						
			Lapine						
		FOODON:00001998	Lettuce						
			Lion						
		FOODON:03412293	Lizard						
			Marsupial						
		FOODON:00002723	Mink						
		FOODON:00002432	Mint						
			Mixed						
			Mongoose						
		NCIT:C14238	Mouse						
		FOODON:00001287	Mushrooms						
		FOODON:03411223	Mussel						
			n/a						
			Not Available						
		FOODON:03411514	Octopus						
		FOODON:03411450	Opossum						
		FOODON:03301482	Oregano						
			Other						
		CURATION:0001394	Otter						
		FOODON:03411183	Ovine						
		NCBITAXON:30458	Owl						
		FOODON:03411224	Oyster						
		FOODON:00002726	Parrot						
		FOODON:00002942	Parsley						
		FOODON:03411382	Partridge						
			Pea sprouts						
		FOODON:03306867	Peanut Butter						
		FOODON:00001649	Pepper						
		FOODON:03411382	Perdrix						
		FOODON:03411460	Pheasant						
			Pickerel						
		FOODON:03411136	Pig						
		FOODON:03411304	Pigeon						
		CURATION:0000439	Pine Siskin						
			Pony						
			Porcupine						
		FOODON:03413364	Porpoise						
		NCBITAXON:9443	Primate						
		FOODON:03411346	Quail						
		FOODON:03411323	Rabbit						
		FOODON:03411461	Raccoon						
		FOODON:03414848	Rat						
		FOODON:03414362	Ratite						
			Raven						
		FOODON:03414371	Red Deer						
			Redpoll						
		FOODON:03411625	Reptile						
		FOODON:03414556	Rhea						
			Robin						
		NCBITAXON:9989	Rodent						
		FOODON:00002217	Sage						
		FOODON:00002220	Salmon						
		FOODON:03411489	Scallop						
		CURATION:0000157	Sea Otter						
		FOODON:03414639	Sea Snail						
			Seal						
		FOODON:03310306	Sesame Seed						
		FOODON:03411183	Sheep						
		FOODON:03411237	Shrimp						
		FOODON:03412293	Skink						
			Skunk						
		FOODON:03411295	Snake						
			Sparrow						
		FOODON:03301716	Spinach						
			Spotted Hyena						
		FOODON:03420183	Sprouts						
		FOODON:03411205	Squid						
		FOODON:03411389	Squirrel						
			Stripped Hyena						
			Swan						
		FOODON:03412439	Tantalus Monkey						
		FOODON:03412434	Tilapia						
		FOODON:03309927	Tomato						
		FOODON:00000074	Tortoise						
		FOODON:03411258	Trout						
		FOODON:03414166	Turkey						
		FOODON:03411242	Turtle						
			Unknown						
		FOODON:00002616	Unspecified Bird						
		FOODON:03411222	Unspecified Fish						
		NCBITAXON:9443	Unspecified Primate						
		FOODON:03411625	Unspecified Reptile						
		NCBITAXON:9989	Unspecified Rodent						
			Vulture						
			Wallnut						
		CHEBI:15377	Water Dragon						
		FOODON:00003281	White Fish						
		FOODON:03530153	Wild Ruminant						
			Wombat						
			Woodpecker						
		FOODON:03412097	Zebra						
STTYPE menu	STTypeMenu		0						
			0.5						
		FOODON:00003004	ANIMAL						host (common name):
		ENVO:01000254	ENVIRONMENT						environmental_material:;environmental_site:
		CHEBI:33290	FOOD						food_product:
		NCBITAXON:9606	HUMAN						host (common name):
			PRODUCT						
			QA						
			UNKNOWN						host (common name):
STYPE menu	STypeMenu		0						
			2						
			<=8						
			<n/a>						
		FOODON:03411624	Amphibian						host (common name):
		FOODON:03411134	Aquatic Mammal						host (common name):
		FOODON:03411626	Armadillo						host (common name):
		FOODON:00002616	Avian						host (common name):
		CURATION:0001601	Bat						host (common name):
		ENVO:00002059	Biosolids						environmental_material:
		FOODON:03414374	Bovine						host (common name):
		ENVO:00000073	Building						environmental_site:
		FOODON:03412103	Camelid						host (common name):
		FOODON:03414847	Canine						host (common name):
		FOODON:03411328	Caprine						host (common name):
			Caprine and Ovine						host (common name):
		FOODON:00001709	Cereal						food_product:
			Cereal/Bread/Snack						food_product:
		FOODON:03411500	Cervid						host (common name):
		CURATION:0001527	Compost						environmental_material:
			Confections/Nuts/Condiments						food_product:
			Crocuta						host (common name):
		FOODON:03411374	Crustacean						host (common name):
		ENVO:00003862	Dairy						environmental_site:
		ENVO:00002008	Dust						environmental_material:
		FOODON:00001274	Egg						food_product:
		FOODON:03412129	Elephant						host (common name):
		CURATION:0001431	Equine						host (common name):
		CURATION:0000348	Equipment						environmental_site:
			ERROR						
		FOODON:03309997	Feed and Ingredients						food_product:
		NCIT:C14191	Feline						host (common name):
		CURATION:0001411	Ferret						host (common name):
		CHEBI:33287	Fertilizer						environmental_material:
		FOODON:03411222	Fish						host (common name):
		CHEBI:33290	Food						food_product:
		PO:0009001	Fruit						food_product:
		FOODON:00002141	Fruits and Vegetables						food_product:
			Health (medicine)						
			Herbs and Spices						food_product:
			Herpestidae						host (common name):
		NCBITAXON:9831	Hippopotamidae						host (common name):
			Lapine						host (common name):
		CURATION:0001446	Litter/Manure						environmental_material:
			Manure						environmental_material:
			Marsupial						host (common name):
		FOODON:00001006	Meat						food_product:
			Mephitida						host (common name):
		FOODON:00002723	Mink						host (common name):
		CHEBI:33290	Mixed food						food_product:
		FOODON:03315600	Mixed Food/Meat						food_product:
		FOODON:03412112	Mollusk						host (common name):
			Mustelid						host (common name):
			n/a						host (common name):
			Other						host (common name):
		FOODON:03411183	Ovine						host (common name):
			Personnel Clothing						environmental_material:
		FOODON:03411136	Porcine						host (common name):
		NCBITAXON:9443	Primate						host (common name):
		FOODON:03411461	Raccoon						host (common name):
		FOODON:03411625	Reptile						host (common name):
		NCBITAXON:9989	Rodent						host (common name):
		ENVO:00002018	Sewage						environmental_material:
		ENVO:00001998	Soil						environmental_material:
		ENVO:02000125	Transportation Supplies						environmental_site:
