class_name	slot_group	slot_uri	title	name	range	range_2	identifier	required	recommended	multivalued	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_GRDI
	Fields to put in sections		AMR_PA2C	amr_pa2c	WhitespaceMinimizedString													
	Fields to put in sections		RLEAST1	rleast1	WhitespaceMinimizedString													
	Fields to put in sections		RLEAST2	rleast2	WhitespaceMinimizedString													
	Fields to put in sections		RLEAST3	rleast3	WhitespaceMinimizedString													
	Fields to put in sections		RLEAST4	rleast4	WhitespaceMinimizedString													
	Fields to put in sections		RLEAST5	rleast5	WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMC	sir_amc	WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMK	sir_amk	WhitespaceMinimizedString													
	Fields to put in sections		SIR_AMP	sir_amp	WhitespaceMinimizedString													
	Fields to put in sections		SIR_AZM	sir_azm	WhitespaceMinimizedString													
	Fields to put in sections		SIR_CEP	sir_cep	WhitespaceMinimizedString													
	Fields to put in sections		SIR_CHL	sir_chl	WhitespaceMinimizedString													
	Fields to put in sections		SIR_CIP	sir_cip	WhitespaceMinimizedString													
	Fields to put in sections		SIR_CRO	sir_cro	WhitespaceMinimizedString													
	Fields to put in sections		SIR_FOX	sir_fox	WhitespaceMinimizedString													
	Fields to put in sections		SIR_GEN	sir_gen	WhitespaceMinimizedString													
	Fields to put in sections		SIR_KAN	sir_kan	WhitespaceMinimizedString													
	Fields to put in sections		SIR_MEM	sir_mem	WhitespaceMinimizedString													
	Fields to put in sections		SIR_NAL	sir_nal	WhitespaceMinimizedString													
	Fields to put in sections		SIR_SSS	sir_sss	WhitespaceMinimizedString													
	Fields to put in sections		SIR_STR	sir_str	WhitespaceMinimizedString													
	Fields to put in sections		SIR_SXT	sir_sxt	WhitespaceMinimizedString													
	Fields to put in sections		SIR_TET	sir_tet	WhitespaceMinimizedString													
	Fields to put in sections		SIR_TIO	sir_tio	WhitespaceMinimizedString													
	Fields to put in sections		RAMC	ramc	WhitespaceMinimizedString													
	Fields to put in sections		RAMK	ramk	WhitespaceMinimizedString													
	Fields to put in sections		RAMP	ramp	WhitespaceMinimizedString													
	Fields to put in sections		RAZM	razm	WhitespaceMinimizedString													
	Fields to put in sections		RCEP	rcep	WhitespaceMinimizedString													
	Fields to put in sections		RCHL	rchl	WhitespaceMinimizedString													
	Fields to put in sections		RCIP	rcip	WhitespaceMinimizedString													
	Fields to put in sections		RCRO	rcro	WhitespaceMinimizedString													
	Fields to put in sections		RFOX	rfox	WhitespaceMinimizedString													
	Fields to put in sections		RGEN	rgen	WhitespaceMinimizedString													
	Fields to put in sections		RKAN	rkan	WhitespaceMinimizedString													
	Fields to put in sections		RMEM	rmem	WhitespaceMinimizedString													
	Fields to put in sections		RNAL	rnal	WhitespaceMinimizedString													
	Fields to put in sections		RSSS	rsss	WhitespaceMinimizedString													
	Fields to put in sections		RSTR	rstr	WhitespaceMinimizedString													
	Fields to put in sections		RSXT	rsxt	WhitespaceMinimizedString													
	Fields to put in sections		RTET	rtet	WhitespaceMinimizedString													
	Fields to put in sections		RTIO	rtio	WhitespaceMinimizedString													
	Fields to put in sections		A2C	a2c	WhitespaceMinimizedString													
	Fields to put in sections		CAMC	camc	WhitespaceMinimizedString													
	Fields to put in sections		CAMK	camk	WhitespaceMinimizedString													
	Fields to put in sections		CAMP	camp	WhitespaceMinimizedString													
	Fields to put in sections		CAZM	cazm	WhitespaceMinimizedString													
	Fields to put in sections		CCEP	ccep	WhitespaceMinimizedString													
	Fields to put in sections		CCHL	cchl	WhitespaceMinimizedString													
	Fields to put in sections		CCIP	ccip	WhitespaceMinimizedString													
	Fields to put in sections		CCRO	ccro	WhitespaceMinimizedString													
	Fields to put in sections		CFOX	cfox	WhitespaceMinimizedString													
	Fields to put in sections		CGEN	cgen	WhitespaceMinimizedString													
	Fields to put in sections		CKAN	ckan	WhitespaceMinimizedString													
	Fields to put in sections		CMEM	cmem	WhitespaceMinimizedString													
	Fields to put in sections		CNAL	cnal	WhitespaceMinimizedString													
	Fields to put in sections		CSSS	csss	WhitespaceMinimizedString													
	Fields to put in sections		CSTR	cstr	WhitespaceMinimizedString													
