Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000424	core field	sulfide	xs:token		Concentration of sulfide in the sample	2 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 59.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000741	core field	suspend_part_matter	xs:token		Concentration of suspended particulate matter	0.5 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000113	environment field	temp	xs:token		Temperature of the sample at the time of sampling.	25 degree Celsius	"Expected value: measurement value. Preferred unit: degree Celsius. Position: 40.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000750	core field	tidal_stage	select		Stage of tide	high tide	"Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: sediment, water"					
MIXS:0000634	core field	tot_depth_water_col	xs:token		Measurement of total depth of water column	500 meter	"Expected value: measurement value. Preferred unit: meter. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: sediment, water"					
MIXS:0000744	core field	tot_diss_nitro	xs:token		"Total dissolved nitrogen concentration, reported as nitrogen, measured by: total dissolved nitrogen = NH4 + NO3NO2 + dissolved organic nitrogen"	40 microgram per liter	Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000745	core field	tot_inorg_nitro	xs:token		Total inorganic nitrogen content	40 microgram per liter	Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000102	core field	tot_nitro	xs:token		"Total nitrogen concentration of water samples, calculated by: total nitrogen = total dissolved nitrogen + particulate nitrogen. Can also be measured without filtering, reported as nitrogen"	50 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter, milligram per liter. Occurrence: 1. Position: 64.0. This field is used in: 4 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, wastewater_sludge, water"					
MIXS:0000747	core field	tot_part_carb	xs:token		Total particulate carbon content	35 micromole per liter	"Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000117	core field	tot_phosp	xs:token		"Total phosphorus concentration in the sample, calculated by: total phosphorus = total dissolved phosphorus + particulate phosphorus"	0.03 milligram per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 75.0. This field is used in: 3 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, water"					
MIXS:0000191	core field	turbidity	xs:token		Measure of the amount of cloudiness or haziness in water caused by individual particles	0.3 nephelometric turbidity units	"Expected value: measurement value. Preferred unit: formazin turbidity unit, formazin nephelometric units. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000203	core field	water_current	xs:token		Measurement of magnitude and direction of flow within a fluid	10 cubic meter per second	"Expected value: measurement value. Preferred unit: cubic meter per second, knots. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: miscellaneous natural or artificial environment, water"					
ENVO:00002030	env_broad_scale	aquatic biome										
ENVO:00000873	aquatic biome	  freshwater biome										
ENVO:01000252	freshwater biome	    freshwater lake biome										
ENVO:01000253	freshwater biome	    freshwater river biome										
ENVO:01000046	env_broad_scale	marginal sea biome										
ENVO:01001230	marginal sea biome	  tropical marginal sea biome										
ENVO:00000447	env_broad_scale	marine biome										
ENVO:01000045	marine biome	  epeiric sea biome										
ENVO:01000020	marine biome	  estuarine biome										
ENVO:01000024	marine biome	  marine benthic biome										
ENVO:01000127	marine benthic biome	    marine cold seep biome										
ENVO:01000028	marine benthic biome	    marine hadal zone biome										
ENVO:01000030	marine benthic biome	    marine hydrothermal vent biome										
ENVO:01000054	marine hydrothermal vent biome	      marine basaltic hydrothermal vent biome										
ENVO:01000053	marine hydrothermal vent biome	      marine ultramafic hydrothermal vent biome										
ENVO:01000025	marine benthic biome	    marine neritic benthic zone biome										
ENVO:01000029	marine benthic biome	    marine reef biome										
ENVO:01000050	marine reef biome	      marine subtidal rocky reef biome										
ENVO:01000022	marine biome	  marine salt marsh biome										
ENVO:00000446	env_broad_scale	terrestrial biome										
ENVO:01000181	terrestrial biome	  mangrove biome										
	env_local_scale	algal bloom										
	env_local_scale	spring										
	env_local_scale	strait										
	env_local_scale	stream										
	env_local_scale	tidal pool										
	env_local_scale	tunnel										
	env_local_scale	bank										
	env_local_scale	bay										
	env_local_scale	bayou										
	env_local_scale	beach										
	env_local_scale	mine drainage										
	env_local_scale	phreatic zone										
	env_local_scale	pond										
	env_local_scale	reservoir										
	env_local_scale	canal										
	env_local_scale	river										
	env_local_scale	rocky reef										
	env_local_scale	marine mesoscale eddy field										
	env_local_scale	shore										
	env_local_scale	canyon										
	env_local_scale	cave										
	env_local_scale	channel										
	env_local_scale	coast										
	env_local_scale	coastal water body										
	env_local_scale	coral reef										
	env_local_scale	marine benthic feature										
	env_local_scale	cove										
	env_local_scale	delta										
	env_local_scale	estuary										
	env_local_scale	fjord										
	env_local_scale	flash flood										
	env_local_scale	geyser										
	env_local_scale	glacial valley										
	env_local_scale	hot spring										
	env_local_scale	kelp forest										
	env_local_scale	lake										
	env_local_scale	snow field										
	env_local_scale	marine tidal flow										
	env_local_scale	lake shore										
	env_local_scale	underground water body										
	env_local_scale	waterfall										
	env_local_scale	well										
	organism_count	ATP										
	organism_count	MPN										
	organism_count	other										
	oxy_stat_samp	aerobic										
	oxy_stat_samp	anaerobic										
	oxy_stat_samp	other										
	tidal_stage	low tide										
	tidal_stage	ebb tide										
	tidal_stage	flood tide										
	tidal_stage	high tide										
