Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000490	core field	alkyl_diethers	xs:token		Concentration of alkyl diethers	0.005 mole per liter	"Expected value: measurement value. Preferred unit: mole per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000094	environment field	alt	xs:token		"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"	100 meter	"Expected value: measurement value. This field is used in: 3 packages: air, host-associated, miscellaneous natural or artificial environment"					
MIXS:0000172	core field	aminopept_act	xs:token		Measurement of aminopeptidase activity	0.269 mole per liter per hour	"Expected value: measurement value. Preferred unit: mole per liter per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000427	core field	ammonium	xs:token		Concentration of ammonium in the sample	1.5 milligram per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 63.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0001097	core field	atmospheric_data	xs:token		Measurement of atmospheric data; can include multiple data	wind speed;9 knots	Expected value: atmospheric data name;measurement value. Occurrence: m. Position: 1.0. This field is used uniquely in: water					
MIXS:0000683	core field	bac_prod	xs:token		Bacterial production in the water column measured by isotope uptake	5 milligram per cubic meter per day	Expected value: measurement value. Preferred unit: milligram per cubic meter per day. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000684	core field	bac_resp	xs:token		Measurement of bacterial respiration in the water column	300 micromole oxygen per liter per hour	"Expected value: measurement value. Preferred unit: milligram per cubic meter per day, micromole oxygen per liter per hour. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000173	core field	bacteria_carb_prod	xs:token		Measurement of bacterial carbon production	2.53 microgram per liter per hour	"Expected value: measurement value. Preferred unit: nanogram per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000174	core field	biomass	xs:token		"Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements"	total;20 gram	"Expected value: biomass type;measurement value. Preferred unit: ton, kilogram, gram. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000175	core field	bishomohopanol	xs:token		Concentration of bishomohopanol	14 microgram per liter	"Expected value: measurement value. Preferred unit: microgram per liter, microgram per gram. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000176	core field	bromide	xs:token		Concentration of bromide	0.05 parts per million	"Expected value: measurement value. Preferred unit: parts per million. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000432	core field	calcium	xs:token		Concentration of calcium in the sample	0.2 micromole per liter	"Expected value: measurement value. Preferred unit: milligram per liter, micromole per liter, parts per million. Occurrence: 1. Position: 70.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000310	core field	carb_nitro_ratio	xs:token		Ratio of amount or concentrations of carbon to nitrogen	0.417361111	"Expected value: measurement value. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000751	core field	chem_administration	xs:token		"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi"	agar [CHEBI:2509];2018-05-11T20:00Z	"Expected value: CHEBI;timestamp. Occurrence: m. Position: 1.0. This field is used in: 13 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000429	core field	chloride	xs:token		Concentration of chloride in the sample	5000 milligram per liter	"Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 67.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000177	core field	chlorophyll	xs:token		Concentration of chlorophyll	5 milligram per cubic meter	"Expected value: measurement value. Preferred unit: milligram per cubic meter, microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000011	environment field	collection_date	xs:date	required	"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant"	2018-05-11T10:00:00+01:00; 2018-05-11	Expected value: date and time. Position: 9.0					
MIXS:0000692	core field	conduc	xs:token		Electrical conductivity of water	10 milliSiemens per centimeter	Expected value: measurement value. Preferred unit: milliSiemens per centimeter. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000435	core field	density	xs:token		"Density of the sample, which is its mass per unit volume (aka volumetric mass density)"	1000 kilogram per cubic meter	"Expected value: measurement value. Preferred unit: gram per cubic meter, gram per cubic centimeter. Occurrence: 1. Position: 77.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, miscellaneous natural or artificial environment, sediment, water"					
