label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
density	core field	xs:token		Density of the sample, which is its mass per unit volume (aka volumetric mass density)	1000 kilogram per cubic meter	Expected value: measurement value. Preferred unit: gram per cubic meter, gram per cubic centimeter. Occurrence: 1. Position: 77.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, miscellaneous natural or artificial environment, sediment, water	MIXS:0000435					
depth	environment field	xs:token	required	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.	10 meter	Expected value: measurement value. Position: 6.0. This field is used in: 8 packages: host-associated, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water	MIXS:0000018					
diether_lipids	core field	xs:token		Concentration of diether lipids; can include multiple types of diether lipids	0.2 nanogram per liter	Expected value: diether lipid name;measurement value. Preferred unit: nanogram per liter. Occurrence: m. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000178					
diss_carb_dioxide	core field	xs:token		Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample	5 milligram per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter. Occurrence: 1. Position: 78.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000436					
diss_hydrogen	core field	xs:token		Concentration of dissolved hydrogen	0.3 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000179					
diss_inorg_carb	core field	xs:token		Dissolved inorganic carbon concentration in the sample, typically measured after filtering the sample using a 0.45 micrometer filter	2059 micromole per kilogram	Expected value: measurement value. Preferred unit: microgram per liter, milligram per liter, parts per million. Occurrence: 1. Position: 73.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000434					
diss_org_carb	core field	xs:token		Concentration of dissolved organic carbon in the sample, liquid portion of the sample, or aqueous phase of the fluid	197 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter. Occurrence: 1. Position: 72.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water	MIXS:0000433					
diss_org_nitro	core field	xs:token		Dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	0.05 micromole per liter	Expected value: measurement value. Preferred unit: microgram per liter, milligram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000162					
diss_oxygen	core field	xs:token		Concentration of dissolved oxygen	175 micromole per kilogram	Expected value: measurement value. Preferred unit: micromole per kilogram, milligram per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000119					
elev	environment field	xs:token	required	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	100 meter	Expected value: measurement value. Position: 7.0. This field is used in: 9 packages: air, host-associated, hydrocarbon resources-cores, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, water	MIXS:0000093					
env_broad_scale	environment field	select	required	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvOs biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	oceanic epipelagic zone biome [ENVO:01000033] for annotating a water sample from the photic zone in middle of the Atlantic Ocean	Expected value: The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.. Position: 10.0	MIXS:0000012					
env_local_scale	environment field	select	required	Report the entity or entities which are in the sample or specimens local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	litter layer [ENVO:01000338]; Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336].	Expected value: Environmental entities having causal influences upon the entity at time of sampling.. Position: 11.0	MIXS:0000013					
env_medium	environment field	select	required	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]	Expected value: The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483].. Position: 12.0	MIXS:0000014					
geo_loc_name	environment field	xs:token	required	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	USA: Maryland, Bethesda	Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name. Position: 8.0	MIXS:0000010					
glucosidase_act	core field	xs:token		Measurement of glucosidase activity	5 mol per liter per hour	Expected value: measurement value. Preferred unit: mol per liter per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000137					
lat_lon	environment field	xs:token	required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	50.586825 6.408977	Expected value: decimal degrees,  limit to 8 decimal points. Position: 5.0	MIXS:0000009					
magnesium	core field	xs:token		Concentration of magnesium in the sample	52.8 micromole per kilogram	Expected value: measurement value. Preferred unit: mole per liter, milligram per liter, parts per million, micromole per kilogram. Occurrence: 1. Position: 69.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water	MIXS:0000431					
mean_frict_vel	core field	xs:token		Measurement of mean friction velocity	0.5 meter per second	Expected value: measurement value. Preferred unit: meter per second. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000498					
mean_peak_frict_vel	core field	xs:token		Measurement of mean peak friction velocity	1 meter per second	Expected value: measurement value. Preferred unit: meter per second. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000502					
methane	core field	xs:token		Methane (gas) amount or concentration at the time of sampling	1800 parts per billion	Expected value: measurement value. Preferred unit: micromole per liter, parts per billion, parts per million. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: air, microbial mat_biofilm, sediment	MIXS:0000101					
